id,name,lat,lng,vicinity,kecamatan,kabupaten,rating,user_ratings_total,price,jenis_sepakbola,jenis_badminton,jenis_tenis,jenis_voli,jenis_futsal,jenis_basket,fasilitas_wifi,fasilitas_parkir_motor,fasilitas_parkir_mobil,fasilitas_wc,fasilitas_kantin,fasilitas_mushola
V272,Lapangan Voli Gubukrubuh,-7.9378452,110.5053623,"3G64+V48, Gubuk Rubuh, Getas, Kabupaten Gunung Kidul",Getas,Gunung Kidul,4.8,5,62000,0,0,0,1,0,0,0,1,1,0,0,0
S855,Lapangan Plembutan,-7.9622578,110.5461908,"2GQW+3FW, Plembutan Timur, Plembutan, Kabupaten Gunung Kidul",Plembutan,Gunung Kidul,4.1,35,77000,1,0,0,0,0,0,1,1,0,0,0,1
S985,Lapangan Getas,-7.9255271,110.5014934,"3GF2+QHQ, Gembuk, Getas, Kabupaten Gunung Kidul",Getas,Gunung Kidul,4,66,40000,1,0,0,0,0,0,0,1,1,1,0,0
S273,Lapangan Patuk,-7.8505244,110.4793951,"Jl. Dlingo-Patuk No.16, Patuk, Kabupaten Gunung Kidul",Patuk,Gunung Kidul,4,7,48000,1,0,0,0,0,0,1,0,0,0,1,1
S661,Lapangan Mberan,-7.8735785,110.5555104,"Jl. Sambipitu Nglipar No.1945, Trukan, Bunder, Kabupaten Gunung Kidul",Bunder,Gunung Kidul,3.5,8,52000,1,0,0,0,0,0,0,1,0,1,0,0
S437,Lapangan Desa Nglangeran,-7.8579243,110.5143892,"4GR7+RQJ, Doga, Nglanggeran, Kabupaten Gunung Kidul",Nglanggeran,Gunung Kidul,4.5,4,67000,1,0,0,0,0,0,1,1,0,0,0,1
S707,Lapangan Semoyo,-7.8804798,110.4825812,"4F9M+R24, Pugeran, Semoyo, Kabupaten Gunung Kidul",Semoyo,Gunung Kidul,3.7,3,39000,1,0,0,0,0,0,0,0,1,1,1,1
S772,Lapangan NgoroOro,-7.8356254,110.5254407,"5G7G+P5V, Sengoran, Ngoro-oro, Kabupaten Gunung Kidul",Ngoro-oro,Gunung Kidul,4.3,3,79000,1,0,0,0,0,0,1,0,0,0,1,0
S901,Lapangan Watu Ondho,-7.8819604,110.5435277,"4G9V+6C6, Jl. Ngepung, Ngepong, Bunder, Kabupaten Gunung Kidul",Bunder,Gunung Kidul,2,1,60000,1,0,0,0,0,0,1,1,0,1,0,0
S22,Lapangan Bola Voli Srumbung,-7.881468,110.4857308,"4F9P+C79, Pengkok, Patuk, Pugeran, Semoyo, Kabupaten Gunung Kidul",Semoyo,Gunung Kidul,3.4,8,74000,1,0,0,0,0,0,0,0,1,1,0,1
S629,Lapangan Voli Langgeng Utama  ,-7.8874704,110.5453318,"Bunder,14/04, Bunder, Kabupaten Gunung Kidul",Bunder,Gunung Kidul,4,9,55000,1,0,0,0,0,0,1,1,1,1,0,1
S897,Lapangan Voli Dusun Kepil,-7.8614744,110.5424364,"4GQR+CX7, Kepil, Putat, Kabupaten Gunung Kidul",Putat,Gunung Kidul,5,1,42000,1,0,0,0,0,0,0,0,1,1,1,1
S58,Gelora Ngaderi,-7.8713271,110.5407298,"4GHR+G34, Ploso, Bunder, Kabupaten Gunung Kidul",Bunder,Gunung Kidul,5,1,57000,1,0,0,0,0,0,1,0,0,1,0,0
S482,Lapangan Voli Pugeran,-7.8723069,110.4745121,"4FHF+3RC, Pugeran, Semoyo, Kabupaten Gunung Kidul",Semoyo,Gunung Kidul,4.4,12,35000,1,0,0,0,0,0,1,1,0,0,1,1
S163,Lapangan Sendowo,-7.8844651,110.5968224,"4H8W+6P8, Sendowo, Sendowo Lor, Kedung Keris, Kabupaten Gunung Kidul",Kedung Keris,Gunung Kidul,4.3,25,67000,1,0,0,0,0,0,1,0,1,1,0,0
S260,Lapangan Ngalang,-7.8808272,110.5750212,"4H9G+M26, Sumberejo, Ngalang, Kabupaten Gunung Kidul",Ngalang,Gunung Kidul,4.3,7,67000,1,0,0,0,0,0,0,0,0,1,1,0
S580,Lapangan Desa Hargomulyo,-7.8425013,110.5913963,"5H4R+XHR, Pace A, Hargomulyo, Kabupaten Gunung Kidul",Hargomulyo,Gunung Kidul,4.7,13,39000,1,0,0,0,0,0,1,1,1,1,0,1
S104,Lapangan Desa Katongan,-7.8637451,110.6347402,"4JPM+GV5, Jl. Nglipar Ngawen, Ngrandu, Katongan, Kabupaten Gunung Kidul",Katongan,Gunung Kidul,4.5,2,58000,1,0,0,0,0,0,0,1,1,1,0,0
S3,Lapangan Gojo,-7.8708552,110.6232288,"4JHF+M75, Gojo, Kedungpoh, Kabupaten Gunung Kidul",Kedungpoh,Gunung Kidul,3.7,3,48000,1,0,0,0,0,0,1,0,0,0,1,1
S368,Lapangan Badminton Sumberjo,-7.8818259,110.5728947,"4H9F+757, Jl. Wedi Wonosari, Sumberejo, Ngalang, Kabupaten Gunung Kidul",Ngalang,Gunung Kidul,5,1,56000,1,0,0,0,0,0,0,1,0,1,1,1
S87,Lapangan Volly Tunas Fajar Merah,-7.8843469,110.5819949,"4H8J+7Q9, Kenteng, Ngalang, Kabupaten Gunung Kidul",Ngalang,Gunung Kidul,4.3,3,40000,1,0,0,0,0,0,0,0,1,0,1,1
S373,Mandalika Field,-7.8873091,110.5807257,"4H7J+37H, Nglaran, Ngalang, Kabupaten Gunung Kidul",Ngalang,Gunung Kidul,4.5,22,36000,1,0,0,0,0,0,0,0,0,1,0,0
S488,Lapangan Voley Kembang,-7.864705,110.5589034,"4HP5+4H6, Nglegi, Kabupaten Gunung Kidul",Nglegi,Gunung Kidul,4,3,54000,1,0,0,0,0,0,0,0,0,1,1,1
S489,Nvc,-7.8788589,110.5809578,"4HCJ+F94, Melikan, Ngasem, Wareng, Ngalang, Kabupaten Gunung Kidul",Ngalang,Gunung Kidul,4.5,8,51000,1,0,0,0,0,0,0,0,1,1,1,1
S568,Official Tunas Gk Volleyball Club,-7.8845893,110.5821807,"4H8J+5V7, Kenteng, Ngalang, Kabupaten Gunung Kidul",Ngalang,Gunung Kidul,4,4,74000,1,0,0,0,0,0,1,0,1,0,0,0
